#,Person,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Fastest Solve,Country
510,Daniel Karnaukh,859,686,715,521,866,521,USA
511,Max Park,521,591,614,727,677,521,USA
512,Rami Sbahi,751,522,770,1021,842,522,USA
513,Sebastian Weyer,658,522,922,723,627,522,Germany
514,Seung Hyuk Nahm (남승혁),931,796,600,522,741,522,Korea
515,Tymon Kolasiński,638,586,522,584,566,522,Poland
516,Tymon Kolasiński,755,613,522,710,588,522,Poland
517,Juliette Sébastien,722,685,522,681,732,522,France
518,Patrick Ponce,647,792,597,522,569,522,USA
519,Max Park,568,586,577,522,542,522,USA
520,Carlos Méndez García-Barroso,730,522,865,860,977,522,Spain
521,Patrick Ponce,522,570,581,651,589,522,USA
522,Brian Johnson,731,840,638,924,522,522,USA
523,Luke Griesser,522,697,746,806,586,522,USA
524,Feliks Zemdegs,536,805,672,522,613,522,Australia
525,Nicolás Sánchez,873,825,864,523,1216,523,USA
526,Max Park,668,692,625,523,761,523,USA
527,Weihao Kong (孔维浩),732,797,525,523,672,523,China
528,Matty Hiroto Inaba,576,578,523,620,666,523,USA
529,Ping-Yueh Huang (黃品越),523,783,875,1126,697,523,Taiwan
530,Asher Kim-Magierek,643,523,621,826,873,523,USA
531,Max Park,586,523,575,616,641,523,USA
532,Brian Johnson,656,523,777,673,821,523,USA
533,Max Siauw,795,884,626,523,744,523,USA
534,Zeke Mackay,688,958,686,738,523,523,USA
535,Kim Roger Høyland Larsen,723,658,523,727,654,523,Norway
536,Brennen Lin,648,523,584,683,591,523,Canada
537,Ben Zhao,715,523,751,834,657,523,USA
538,Patrick Ponce,571,623,523,713,686,523,USA
539,Patrick Ponce,524,935,612,784,657,524,USA
540,Feliks Zemdegs,607,564,524,602,841,524,Australia
541,Tymon Kolasiński,524,780,1396,868,981,524,Poland
542,Feliks Zemdegs,648,720,838,790,524,524,Australia
543,Carlos Méndez García-Barroso,1672,1788,1241,524,799,524,Spain
544,Max Park,607,602,752,645,524,524,USA
545,Tymon Kolasiński,995,524,957,630,981,524,Poland
546,Feliks Zemdegs,616,691,524,793,577,524,Australia
547,Yiheng Wang (王艺衡),643,703,719,896,524,524,China
548,Matty Hiroto Inaba,627,524,601,571,608,524,USA
549,Phillip Lewicki,524,586,692,788,740,524,USA
550,Asher Kim-Magierek,833,524,829,618,819,524,USA
551,Asher Kim-Magierek,807,646,626,562,524,524,USA
552,Patrick Ponce,693,545,524,616,665,524,USA
553,Kyle Santucci,682,768,524,731,760,524,Canada
554,Patrick Ponce,600,524,651,631,821,524,USA
555,Luke Garrett,547,965,724,680,524,524,USA
556,Angel Armando Jaime Sánchez,915,1122,617,798,524,524,Mexico
557,Jack Pfeifer,524,764,903,735,914,524,USA
558,Collin Burns,910,968,525,732,1077,525,USA
559,Feliks Zemdegs,599,528,525,613,919,525,Australia
560,Philipp Weyer,525,DNF,802,661,744,525,Germany
561,Kevin Gerhardt,815,703,525,752,818,525,Germany
562,Tee Kai Yang,783,525,762,762,854,525,Malaysia
563,Max Park,709,698,636,525,600,525,USA
564,Mats Valk,661,880,620,525,801,525,Netherlands
565,Max Park,654,693,593,564,525,525,USA
566,Tymon Kolasiński,525,641,642,682,664,525,Poland
567,Łukasz Burliga,711,922,525,769,896,525,Poland
568,Max Park,835,715,526,701,743,526,USA
569,Max Park,639,682,526,692,592,526,USA
570,Max Park,655,592,716,611,526,526,USA
571,Max Siauw,740,750,777,730,526,526,USA
572,Feliks Zemdegs,643,526,737,665,571,526,Australia
573,Patrick Ponce,592,526,723,614,543,526,USA
574,Zayn Khanani,581,772,771,526,758,526,USA
575,Tymon Kolasiński,651,716,526,533,545,526,Poland
576,Tymon Kolasiński,571,527,737,526,823,526,Poland
577,Jason Harley,881,848,854,526,904,526,United Kingdom
578,Varun Mohanraj,802,609,854,756,526,526,USA
579,Luke Griesser,682,526,713,685,691,526,USA
580,Asher Kim-Magierek,526,929,591,682,841,526,USA
581,Max Park,558,570,622,526,598,526,USA
582,Patrick Ponce,568,670,620,527,722,527,USA
583,Mats Valk,809,527,622,747,803,527,Netherlands
584,Bartłomiej Owczarek,527,866,919,839,877,527,Poland
585,Tymon Kolasiński,568,540,553,527,751,527,Poland
586,Max Park,695,670,673,641,527,527,USA
587,Luke Garrett,643,651,527,535,793,527,USA
588,Brian Johnson,596,641,659,527,792,527,USA
589,Luke Garrett,763,527,742,676,745,527,USA
590,Ianis Costin Chele,990,893,778,866,527,527,Romania
591,Sameer Aggarwal,527,DNF,805,692,702,527,USA
592,Luke Griesser,527,857,757,628,744,527,USA
593,Julian Bürgi,527,970,745,898,688,527,Switzerland
594,Brian Johnson,538,527,856,638,624,527,USA
595,Philipp Weyer,528,696,793,952,793,528,Germany
596,Max Park,614,996,651,528,604,528,USA
597,Patrick Ponce,582,528,824,820,836,528,USA
598,Seung Hyuk Nahm (남승혁),730,528,756,691,582,528,Korea
599,Feliks Zemdegs,766,655,643,684,528,528,Australia
600,Brian Johnson,959,601,528,660,DNF,528,USA
601,Tymon Kolasiński,827,692,538,528,558,528,Poland
602,Morgan Yeh,732,528,774,634,757,528,Canada
603,Luke Garrett,830,593,586,558,528,528,USA
604,Fahmi Aulia Rachman,DNF,711,867,528,702,528,Indonesia
605,Lucas Etter,721,968,717,529,676,529,USA
606,Bill Wang,825,728,685,529,652,529,Canada
607,Andrey Che,835,697,760,930,529,529,Russia
608,Leo Borromeo,783,529,806,606,700,529,Philippines
609,Ruihang Xu (许瑞航),598,529,536,666,680,529,China
610,Luke Garrett,529,641,738,661,632,529,USA
611,Brian Johnson,711,594,529,1354,776,529,USA
612,Caio Hideaki Sato,888,568,529,777,910,529,Brazil
613,Juliette Sébastien,653,613,529,821,671,529,France
614,Luke Garrett,558,830,615,529,681,529,USA
615,Patrick Ponce,607,614,593,529,884,529,USA
616,Zayn Khanani,913,911,853,529,676,529,USA
617,James Alonso,572,1057,529,704,759,529,United Kingdom
618,Max Siauw,631,631,629,576,529,529,USA
619,Feliks Zemdegs,844,559,530,723,809,530,Australia
620,Feliks Zemdegs,581,530,651,604,643,530,Australia
621,Max Park,824,601,791,530,664,530,USA
622,Qiyu Zhang (张淇奥),530,799,923,926,780,530,China
623,Lucas Etter,734,542,581,530,933,530,USA
624,Yezhen Han (韩业臻),587,542,530,753,542,530,China
625,Matty Hiroto Inaba,582,752,739,558,530,530,USA
626,Matty Hiroto Inaba,593,677,706,530,534,530,USA
627,Max Park,633,724,659,768,530,530,USA
628,Carson Widjaja,966,728,789,530,783,530,USA
629,Max Park,688,531,569,578,530,530,USA
630,Marek Majerik,855,700,988,769,530,530,Slovakia
631,Jiayu Wang (王佳宇),861,870,764,531,790,531,China
632,Tymon Kolasiński,670,1014,678,666,531,531,Poland
633,Patrick Ponce,531,851,589,628,710,531,USA
634,Martin Vædele Egdal,684,931,659,840,531,531,Denmark
635,Mats Valk,776,721,760,531,631,531,Netherlands
636,Tymon Kolasiński,875,756,531,649,640,531,Poland
637,Dylan Wang,1112,892,531,1021,810,531,Canada
638,Ruihang Xu (许瑞航),DNF,674,545,626,531,531,China
639,Luke Garrett,667,644,531,674,597,531,USA
640,Patrick Ponce,614,563,666,531,646,531,USA
641,Leo Borromeo,606,657,531,664,562,531,Philippines
642,Ben Zhao,733,874,531,827,970,531,USA
643,Brian Johnson,531,777,763,835,886,531,USA
644,Jode Brewster,774,664,596,733,531,531,Australia
645,Derek Hsieh,680,901,DNF,1556,531,531,USA
646,Tymon Kolasiński,720,531,571,541,543,531,Poland
647,Simon Kellum,1105,531,836,867,912,531,USA
648,Ahmet Çınar Ablak,531,810,838,805,1440,531,Turkey
649,Max Siauw,579,531,695,972,930,531,USA
650,Feliks Zemdegs,740,659,532,684,685,532,Australia
651,Lucas Etter,1148,804,532,734,840,532,USA
652,Feliks Zemdegs,680,642,666,532,901,532,Australia
653,Patrick Ponce,695,603,870,848,532,532,USA
654,Yang Li (李扬),532,749,1052,1218,902,532,China
655,Jayden McNeill,694,863,971,655,532,532,Australia
656,Max Park,700,611,537,672,532,532,USA
657,Tymon Kolasiński,532,592,566,757,677,532,Poland
658,Tymon Kolasiński,740,719,566,604,532,532,Poland
659,Weihao Kong (孔维浩),579,532,699,671,688,532,China
660,Max Park,748,634,680,532,560,532,USA
661,Max Park,611,532,545,567,692,532,USA
662,Ben Kirby,717,784,532,851,946,532,New Zealand
663,Luke Garrett,532,902,646,773,781,532,USA
664,Dylan Miller,857,706,532,770,807,532,USA
665,Patrick Ponce,729,856,601,921,532,532,USA
666,Kyle Santucci,664,817,532,673,662,532,Canada
667,Tucker Chamberlain,868,848,532,949,1143,532,USA
668,Max Park,532,574,618,571,588,532,USA
669,Jerry Yao,532,566,622,560,1195,532,USA
670,Matěj Grohmann,1014,533,1039,906,831,533,Czech Republic
671,Max Park,690,709,533,621,609,533,USA
672,Feliks Zemdegs,559,640,533,652,DNF,533,Australia
673,Philipp Weyer,675,533,786,719,759,533,Germany
674,Max Park,699,656,649,533,632,533,USA
675,Max Park,657,552,579,690,533,533,USA
676,Feliks Zemdegs,533,536,886,604,646,533,Australia
677,Feliks Zemdegs,633,533,570,792,638,533,Australia
678,Twan Dullemond,533,674,790,1028,569,533,Netherlands
679,Antonie Paterakis,670,1079,616,609,533,533,Netherlands
680,Feliks Zemdegs,534,881,738,674,621,534,Australia
681,Feliks Zemdegs,610,738,534,748,714,534,Australia
682,Max Park,534,538,611,661,818,534,USA
683,Tommy Kiprillis,876,534,798,900,748,534,Australia
684,Mykyta Tytar (Микита Титарь),1028,867,534,936,1093,534,Ukraine
685,Max Park,656,667,692,534,737,534,USA
686,Brenton Angelo Lo Wong,994,883,878,854,534,534,Philippines
687,Sebastian Weyer,626,692,908,534,691,534,Germany
688,Philipp Weyer,684,534,603,633,812,534,Germany
689,Patrick Ponce,704,534,758,673,858,534,USA
690,Twan Dullemond,770,722,709,534,643,534,Netherlands
691,Zhouheng Sun (孙舟横),701,534,690,863,859,534,China
692,Adam Kędziorski,984,767,534,845,1008,534,Poland
693,Timothy Castle,874,534,856,926,1123,534,USA
694,Tymon Kolasiński,642,560,556,547,534,534,Poland
695,Sean Patrick Villanueva,534,592,670,606,665,534,Philippines
696,Kevin Gerhardt,534,747,815,1330,818,534,Germany
697,Luke Garrett,534,771,575,914,600,534,USA
698,Muhammad Faeyza Koda,1084,534,937,1013,845,534,Indonesia
699,Leon Schmidtchen,704,992,962,535,996,535,Germany
700,Feliks Zemdegs,638,535,721,538,598,535,Australia
701,Brian Johnson,796,615,535,635,587,535,USA
702,Tymon Kolasiński,613,592,597,560,535,535,Poland
703,Peter Weyers,897,975,888,981,535,535,USA
704,Luke Tycksen,535,674,684,912,655,535,USA
705,Twan Dullemond,609,767,680,680,535,535,Netherlands
706,Feliks Zemdegs,829,785,536,817,564,536,Australia
707,Feliks Zemdegs,826,751,695,731,536,536,Australia
708,Max Park,536,689,586,603,688,536,USA
709,Seung Hyuk Nahm (남승혁),665,536,887,731,707,536,Korea
710,Alexandre Carlier,876,817,872,899,536,536,France
711,Leo Borromeo,874,803,723,605,536,536,Philippines
712,Max Park,632,550,638,602,536,536,USA
713,Max Park,745,636,788,829,536,536,USA
714,Biel Salmons Gonzalez,1120,536,715,737,1003,536,Spain
715,Caio Hideaki Sato,733,748,753,712,536,536,Brazil
716,Philipp Weyer,684,685,737,536,731,536,Germany
717,Patrick Ponce,663,865,536,545,748,536,USA
718,Dylan Miller,745,536,539,786,801,536,USA
719,Kim Roger Høyland Larsen,573,536,996,1102,821,536,Norway
720,Ben Baron,536,662,616,622,616,536,Israel
721,David Epstein,754,769,536,879,695,536,Australia
722,Tymon Kolasiński,622,554,536,577,544,536,Poland
723,Zeke Mackay,1022,804,687,536,746,536,USA
724,Patrick Ponce,709,537,888,712,752,537,USA
725,Dana Yi,928,1194,1009,908,537,537,USA
726,Alexandre Carlier,750,918,846,755,537,537,France
727,Leo Borromeo,790,537,1032,735,848,537,Philippines
728,Feliks Zemdegs,755,742,537,654,850,537,Australia
729,Philipp Weyer,750,1068,537,623,664,537,Germany
730,Martin Vædele Egdal,717,726,537,787,807,537,Denmark
731,Ben Kirby,924,774,537,792,820,537,New Zealand
732,Antonie Paterakis,640,749,537,723,570,537,Netherlands
733,Max Siauw,537,839,789,660,741,537,USA
734,Max Park,636,537,624,830,663,537,USA
735,Kyle Santucci,715,692,643,537,988,537,Canada
736,Juliette Sébastien,741,537,688,896,780,537,France
737,Sebastian Weyer,537,762,784,724,976,537,Germany
738,Juliette Sébastien,625,537,792,750,595,537,France
739,Dylan Miller,596,789,537,762,694,537,USA
740,Theo Goluboff,689,625,864,776,537,537,Argentina
741,James Alonso,744,622,537,824,1240,537,United Kingdom
742,Collin Burns,985,822,893,878,538,538,USA
743,Daniel Rose-Levine,681,1047,998,906,538,538,USA
744,Feliks Zemdegs,712,632,587,539,538,538,Australia
745,Feliks Zemdegs,671,538,631,637,605,538,Australia
746,Yezhen Han (韩业臻),638,538,853,753,645,538,China
747,Yiheng Wang (王艺衡),618,619,674,724,538,538,China
748,Herman Westerlund Kalland,769,708,538,804,744,538,Norway
749,Patrick Ponce,786,776,726,705,538,538,USA
750,Luke Garrett,571,797,538,591,657,538,USA
751,Gael Augusto Lapeyre,747,538,714,828,799,538,Argentina
752,Luke Garrett,767,598,540,538,618,538,USA
753,Tu Pham,748,538,914,760,984,538,Vietnam
754,Kyle Santucci,716,538,581,598,600,538,Canada
755,Max Park,561,538,576,671,665,538,USA
756,Feliks Zemdegs,539,780,738,787,572,539,Australia
757,Feliks Zemdegs,691,539,757,598,679,539,Australia
758,Max Park,564,784,642,622,539,539,USA
759,Feliks Zemdegs,666,789,682,627,539,539,Australia
760,Patrick Ponce,539,738,873,612,656,539,USA
761,Roger Lightbody III,911,891,842,1048,539,539,USA
762,Weihao Kong (孔维浩),539,738,691,935,761,539,China
763,Asher Kim-Magierek,539,812,953,705,993,539,USA
764,Zijian Cai (蔡子健),637,539,683,873,664,539,China
765,Luke Griesser,883,880,696,752,539,539,USA
766,Divnoor Bajwa,930,1010,997,539,865,539,Australia
767,Leo Borromeo,539,774,554,653,566,539,Philippines
768,Shaun Mack,539,947,1100,899,841,539,USA
769,Szymon Musiał,539,815,922,639,1141,539,Poland
770,Brendyn Dunagan,539,936,648,669,755,539,USA
771,Danny Sungin Park,708,539,884,641,982,539,USA
772,Brenton Angelo Lo Wong,732,768,729,669,539,539,Philippines
773,Patrick Ponce,584,596,545,618,539,539,USA
774,Alexandre Carlier,540,801,843,936,832,540,France
775,Seung Hyuk Nahm (남승혁),602,769,703,637,540,540,Korea
776,Mats Valk,633,843,800,802,540,540,Netherlands
777,Christopher Yen,800,938,839,540,657,540,USA
778,Max Park,617,540,689,607,735,540,USA
779,Feliks Zemdegs,576,540,572,681,DNF,540,Australia
780,Max Park,540,598,618,600,640,540,USA
781,Valerio Locatelli,706,708,676,540,765,540,Italy
782,Matty Hiroto Inaba,630,581,540,804,690,540,USA
783,Luke Garrett,902,665,691,692,540,540,USA
784,Luke Garrett,698,755,540,740,644,540,USA
785,Patrick Ponce,756,540,594,967,681,540,USA
786,Dominic Redisi,540,809,1138,DNF,647,540,USA
787,Twan Dullemond,695,800,540,716,691,540,Netherlands
788,Antoine Cantin,887,684,784,541,820,541,Canada
789,Feliks Zemdegs,813,848,684,541,700,541,Australia
790,Feliks Zemdegs,737,664,541,956,622,541,Australia
791,Mats Valk,1077,727,541,611,858,541,Netherlands
792,Feliks Zemdegs,861,669,736,541,712,541,Australia
793,Lucas Etter,662,617,541,675,730,541,USA
794,Patrick Ponce,541,626,570,869,661,541,USA
795,Ray Bai,756,541,692,929,778,541,USA
796,Elijah Brown,910,905,983,541,991,541,USA
797,Patrick Ponce,541,691,548,632,779,541,USA
798,Matty Hiroto Inaba,541,662,592,604,837,541,USA
799,Philipp Weyer,707,757,541,774,1072,541,Germany
800,Tymon Kolasiński,597,593,847,541,594,541,Poland
801,Linus Laurén,623,1261,913,541,825,541,Finland
802,Luke Garrett,730,541,963,DNF,624,541,USA
803,Jakob Gunnarsson,772,755,541,817,636,541,Sweden
804,Luke Garrett,668,541,779,647,624,541,USA
805,Antonie Paterakis,724,541,868,691,632,541,Netherlands
806,Theo Goluboff,679,735,704,DNF,541,541,Argentina
807,Brian Johnson,1124,541,637,638,651,541,USA
808,Feliks Zemdegs,745,577,729,542,703,542,Australia
809,Drew Brads,542,837,758,788,554,542,USA
810,Jayden McNeill,688,893,650,768,542,542,Australia
811,Max Park,689,542,621,794,679,542,USA
812,Zibo Xu (徐子博),632,542,863,725,881,542,China
813,Dylan Miller,864,DNF,664,815,542,542,USA
814,Leon Schmidtchen,1081,983,1378,542,771,542,Germany
815,Patrick Ponce,909,886,542,769,762,542,USA
816,Dylan Miller,542,707,783,600,827,542,USA
817,Matty Hiroto Inaba,714,666,549,542,599,542,USA
818,Joshua Hounslow,859,743,1007,542,770,542,Australia
819,Feliks Zemdegs,674,642,760,693,542,542,Australia
820,Brennen Lin,672,623,731,721,542,542,Canada
821,Jack Pfeifer,766,783,782,542,900,542,USA
822,Lucas Kuczaj,841,751,DNF,542,1252,542,Canada
823,Max Park,775,543,641,614,832,543,USA
824,Feliks Zemdegs,654,646,597,1039,543,543,Australia
825,Max Park,543,710,679,686,779,543,USA
826,Philipp Weyer,782,672,661,699,543,543,Germany
827,Daniel Karnaukh,887,543,763,890,940,543,USA
828,Ruihang Xu (许瑞航),543,656,756,772,676,543,China
829,Zixuan Yang (杨子轩),744,743,773,638,543,543,China
830,Luke Garrett,667,654,543,687,808,543,USA
831,Patrick Ponce,543,665,685,871,628,543,USA
832,Leo Palfrey,806,1158,994,543,719,543,United Kingdom
833,Christopher Yen,776,844,753,865,543,543,USA
834,Leo Borromeo,543,559,601,617,608,543,Philippines
835,Max Siauw,557,718,613,821,543,543,USA
836,Sameer Aggarwal,543,666,949,684,780,543,USA
837,Mats Valk,754,543,DNF,749,619,543,Netherlands
838,Zayn Khanani,711,994,1174,543,736,543,USA
839,Tristan Chua Yong,837,679,723,543,DNF,543,Singapore
840,János Bereczki,843,766,861,869,543,543,Romania
841,Leo Borromeo,726,652,713,683,543,543,Philippines
842,Feliks Zemdegs,702,544,591,671,699,544,Australia
843,Feliks Zemdegs,633,847,544,669,611,544,Australia
844,Myagmardorj Ulziijargal (Өлзийжаргал Мягмардорж),897,544,748,703,862,544,Mongolia
845,Max Park,581,702,613,544,702,544,USA
846,Sebastian Weyer,644,544,831,689,725,544,Germany
847,Lucas Etter,748,544,679,787,674,544,USA
848,Feliks Zemdegs,814,671,544,663,606,544,Australia
849,Anthony Brooks,741,738,752,544,774,544,USA
850,Seung Hyuk Nahm (남승혁),790,893,611,544,714,544,Korea
851,Asher Kim-Magierek,544,713,705,703,756,544,USA
852,Sebastian Weyer,544,634,874,734,674,544,Germany
853,Feliks Zemdegs,635,544,662,636,658,544,Australia
854,Sean Patrick Villanueva,601,700,544,725,677,544,Philippines
855,Andrey Che,710,894,707,544,827,544,Russia
856,Patrick Ponce,544,723,552,616,544,544,USA
857,Zeke Mackay,679,669,953,758,544,544,USA
858,Luke Garrett,544,614,735,613,949,544,USA
859,Richard Delacoste,709,945,544,637,664,544,Switzerland
860,Angel Armando Jaime Sánchez,544,810,794,795,742,544,Mexico
861,Kyle Santucci,746,641,544,674,783,544,Canada
862,Simon Kellum,544,987,743,726,825,544,USA
863,Max Siauw,724,679,589,596,544,544,USA
864,Zayn Khanani,1109,544,925,743,783,544,USA
865,Leo Borromeo,564,645,591,825,544,544,Philippines
866,Drew Brads,723,545,696,761,792,545,USA
867,Max Park,653,683,768,545,570,545,USA
868,Max Park,670,727,590,545,719,545,USA
869,Alexandre Carlier,634,933,838,545,655,545,France
870,Juliette Sébastien,752,968,691,1127,545,545,France
871,Leon Schmidtchen,545,735,814,1015,841,545,Germany
872,Andrey Che,836,715,545,894,716,545,Russia
873,Riley Dexter,655,769,545,605,684,545,Australia
874,Asher Kim-Magierek,758,545,776,668,621,545,USA
875,Asher Kim-Magierek,985,545,744,700,867,545,USA
876,Ao Nogami (野上碧),809,587,545,852,873,545,Japan
877,Juliette Sébastien,645,779,650,726,545,545,France
878,Alexandre Carlier,888,856,545,774,672,545,France
879,Burno Li Chak Kwan (李澤堃),545,864,852,847,758,545,Hong Kong
880,Bill Wang,720,685,674,546,706,546,Canada
881,Feliks Zemdegs,608,653,546,622,681,546,Australia
882,Philipp Weyer,846,608,662,546,DNF,546,Germany
883,Patrick Ponce,672,839,772,546,797,546,USA
884,Eva Kato,861,693,546,1249,863,546,USA
885,Seung Hyuk Nahm (남승혁),683,546,619,861,611,546,Korea
886,Sebastian Weyer,546,615,668,740,803,546,Germany
887,Bill Wang,852,546,668,645,711,546,Canada
888,Dylan Miller,611,928,734,546,858,546,USA
889,Antonie Paterakis,702,805,936,546,765,546,Netherlands
890,Sameer Aggarwal,749,704,690,546,833,546,USA
891,Patrick Ponce,730,664,768,548,546,546,USA
892,Zayn Khanani,546,713,901,721,764,546,USA
893,Christopher Yen,757,1044,546,708,576,546,USA
894,Max Siauw,546,692,739,562,640,546,USA
895,Jerry Yao,546,804,693,717,662,546,USA
896,Kai-Wen Wang (王楷文),639,590,763,700,546,546,Taiwan
897,Juliette Sébastien,546,697,777,566,744,546,France
898,Luke Garrett,709,546,744,745,645,546,USA
899,Ben Zhao,636,665,546,856,707,546,USA
900,Patrick Ponce,841,671,564,546,706,546,USA
901,Patrick Ponce,547,840,688,761,836,547,USA
902,Max Park,677,829,648,547,694,547,USA
903,Feliks Zemdegs,687,664,614,625,547,547,Australia
904,Feliks Zemdegs,985,567,547,687,648,547,Australia
905,Leon Schmidtchen,547,927,850,777,1558,547,Germany
906,Alexandre Carlier,778,835,673,877,547,547,France
907,Firstian Fushada (符逢城),547,781,692,737,781,547,Indonesia
908,Feliks Zemdegs,621,585,547,611,657,547,Australia
909,Chris Mills,826,661,619,748,547,547,United Kingdom
910,Luke Garrett,592,645,DNF,802,547,547,USA
911,Tee Kai Yang,547,749,804,856,648,547,Malaysia
912,Alexander Tosting,895,983,1008,547,644,547,Sweden
913,Kim Roger Høyland Larsen,705,817,547,796,705,547,Norway
914,Brian Johnson,807,547,763,602,734,547,USA
915,Matty Hiroto Inaba,618,547,625,711,652,547,USA
916,Vako Marchilashvili (ვაკო მარჩილაშვილი),547,833,751,682,756,547,Georgia
917,Brian Johnson,846,547,856,585,714,547,USA
918,Kevin Gerhardt,548,800,890,893,889,548,Germany
919,SeungBeom Cho (조승범),810,548,865,852,843,548,Korea
920,Łukasz Burliga,787,901,965,548,1033,548,Poland
921,Kevin Gerhardt,694,548,559,720,882,548,Germany
922,Firstian Fushada (符逢城),DNF,548,784,801,655,548,Indonesia
923,Feliks Zemdegs,600,696,548,726,872,548,Australia
924,Luke Griesser,548,623,694,649,655,548,USA
925,Ruihang Xu (许瑞航),556,647,595,548,556,548,China
926,Sebastian Weyer,819,709,797,621,548,548,Germany
927,Max Park,647,673,635,548,554,548,USA
928,Patrick Ponce,839,630,548,640,787,548,USA
929,Ping-Yueh Huang (黃品越),778,641,890,548,847,548,Taiwan
930,Aryan Chhabra,919,857,866,747,548,548,India
931,Patrick Ponce,819,548,686,584,689,548,USA
932,Jerry Yao,DNF,709,714,548,923,548,USA
933,Daniel Rose-Levine,809,712,548,705,1022,548,USA
934,Max Siauw,810,548,699,561,694,548,USA
935,Daniel Gutierrez,682,548,869,1497,820,548,USA
936,Seung Hyuk Nahm (남승혁),548,634,794,813,596,548,Korea
937,Twan Dullemond,648,548,702,702,699,548,Netherlands
938,Tymon Kolasiński,691,563,574,548,557,548,Poland
939,Feliks Zemdegs,679,717,595,548,DNF,548,Australia
940,Max Siauw,624,783,863,623,548,548,USA
941,Brennen Lin,548,579,822,606,730,548,Canada
942,Max Park,637,871,549,603,742,549,USA
943,Max Park,653,745,604,587,549,549,USA
944,Feliks Zemdegs,821,549,646,581,669,549,Australia
945,Max Park,735,654,675,549,688,549,USA
946,Max Park,676,652,598,895,549,549,USA
947,Andy Denney,549,796,657,910,837,549,USA
948,Max Park,592,549,860,706,600,549,USA
949,Patrick Ponce,898,693,549,557,712,549,USA
950,Luke Garrett,669,574,549,667,638,549,USA
951,Patrick Ponce,549,636,850,833,666,549,USA
952,Patrick Ponce,768,549,661,663,643,549,USA
953,Sebastian Weyer,641,695,720,549,715,549,Germany
954,Kim Roger Høyland Larsen,748,549,898,609,844,549,Norway
955,Tymon Kolasiński,627,599,624,549,627,549,Poland
956,Ray Bai,883,808,894,549,732,549,USA
957,Leo Borromeo,641,549,640,838,573,549,Philippines
958,Brian Johnson,549,600,674,563,736,549,USA
959,Kyle Santucci,709,812,693,549,1017,549,Canada
960,Kai-Wen Wang (王楷文),726,578,549,643,892,549,Taiwan
961,Sameer Aggarwal,549,786,684,860,586,549,USA
962,Ben Zhao,616,549,590,667,682,549,USA
963,Drew Brads,859,840,747,825,550,550,USA
964,Natthaphat Mahtani (ณัฐภัทร จี มาทานี),803,550,695,877,1015,550,Thailand
965,Feliks Zemdegs,667,833,575,550,706,550,Australia
966,Łukasz Burliga,550,873,875,1181,894,550,Poland
967,Max Park,722,550,555,644,601,550,USA
968,Yi-Fan Wu (吳亦凡),757,1028,713,550,932,550,Taiwan
969,Daniel Gutierrez,964,935,934,550,804,550,USA
970,Tristan Chua Yong,1022,550,865,850,1026,550,Singapore
971,Luke Garrett,757,550,605,708,902,550,USA
972,Bautista Bonazzola,747,550,1031,863,726,550,Argentina
973,Firstian Fushada (符逢城),714,749,550,648,903,550,Indonesia
974,Zijian Cai (蔡子健),719,815,783,550,706,550,China
975,Matty Hiroto Inaba,574,550,599,699,796,550,USA
976,Sebastian Weyer,592,696,699,550,634,550,Germany
977,Sebastian Weyer,739,641,550,665,660,550,Germany
978,Asher Kim-Magierek,552,550,663,753,555,550,USA
979,Luke Garrett,630,920,699,550,604,550,USA
980,Luke Garrett,616,576,550,747,828,550,USA
981,Carter Kucala,747,801,760,550,892,550,USA
982,Toby Waters,550,842,936,788,831,550,USA
983,Alexandre Carlier,645,897,550,665,849,550,France
984,Brian Johnson,921,692,813,550,744,550,USA
985,Jode Brewster,550,671,572,566,578,550,Australia
986,Morgan Yeh,631,550,670,686,591,550,Canada
987,Feliks Zemdegs,671,551,696,800,590,551,Australia
988,Will Newhoff,699,787,551,810,DNF,551,USA
989,Philipp Weyer,623,551,644,868,773,551,Germany
990,Daniel Karnaukh,620,960,551,789,851,551,USA
991,Mats Valk,718,726,734,604,551,551,Netherlands
992,Nipat Charoenpholphant (นิพัฒน์ เจริญพลพันธุ์),888,551,1089,880,763,551,Thailand
993,Tymon Kolasiński,612,551,651,645,674,551,Poland
994,Zixuan Yang (杨子轩),722,551,663,853,843,551,China
995,Weihao Kong (孔维浩),551,867,576,602,659,551,China
996,Zeke Mackay,849,657,673,551,775,551,USA
997,Philipp Weyer,551,893,812,631,749,551,Germany
998,Patrick Ponce,804,551,722,604,786,551,USA
999,Adam Łyskawa,551,1190,695,966,1237,551,Poland
1000,Ben Zhao,761,551,714,639,773,551,USA
